rule,bp,train,test,t_test,test_stress,win%,early%,wick%,dbp
trail 5% from MFE,78.40711895198213,86.80344520824812,64.705897314364,3.223400075255516,41.27320217445234,48.125349748181314,82.31673195299385,42.012236573759346,-51.022076544607216
trail 5% armed at +3%,112.46573488090725,115.25293376119782,107.91755173015326,4.445294787396138,88.68220563295154,58.86961387800783,55.45607162842753,49.04137235116045,-16.963460615682106
trail 8% from MFE,99.15964991669968,104.96144897612743,89.69220756346553,3.5302913066500676,70.30222229100606,51.315053161723554,54.4487968662563,33.29907502569373,-30.269545579889684
trail 8% armed at +3%,119.50947688339633,125.66788822863352,109.46011050560135,4.064267138182217,93.11872611679428,55.23223279238948,35.53441522104085,39.84251968503937,-9.919718613193012
hard stop at 0.25xEM,40.52738767042548,54.10285505106972,18.37478405075861,1.1307249473136085,-4.704450117135351,29.099048684946837,83.77168438724118,47.89579158316633,-88.90180782616386
confirm15 stop at 0.25xEM,89.42656981010813,106.61160230216929,61.38383637681834,2.6320136622953387,40.80092032379922,32.23279238947958,67.15165081141579,36.75,-40.00262568648122
dwell10 stop at 0.25xEM,90.65056236650723,99.27088648808935,76.58381843909488,3.0831265444696676,56.70782433011112,35.702294348069394,63.62618914381645,33.24538258575198,-38.77863313008211
hard stop at 0.5xEM,58.885036041904165,75.9033851598186,31.114298453319172,1.5031241642561586,9.73609521326028,32.79238947957471,72.8035814213766,42.73635664873174,-70.54415945468517
confirm15 stop at 0.5xEM,99.88423490703505,116.43819500433656,72.87129265694657,2.867874150703782,53.768494424251465,39.22775601566872,57.47062115277001,30.5744888023369,-29.54496058955429
dwell10 stop at 0.5xEM,101.25916500316906,115.25239352161728,78.42485395981025,2.9389525907456067,59.94061242814606,41.91382204812535,53.83324006715166,27.33887733887734,-28.170030493420285
tp 5% (no stop),103.72387626538907,109.09506387169061,94.95911062800745,4.128606551804361,75.7237645308057,68.15892557358701,58.03021824286514,52.169720347155256,-25.70531923120029
tp 8% (no stop),119.24099986291156,117.14874704049207,122.65516205325152,4.580110671986927,106.7114212579644,60.49244543928371,35.030777839955235,52.23642172523961,-10.188195633677747
tp 10% (no stop),123.53669235144808,118.45027610757606,131.83676480831141,4.506052021733555,117.3289592118461,58.53385562395076,25.349748181309455,52.75938189845475,-5.892503145141264
tp 0.5xEM (no stop),34.19579735220855,33.40225865790329,35.49070290933703,2.249752548696697,13.25093854998505,83.32400671516508,81.36541689983213,57.22145804676754,-95.23339814438079
tp 0.75xEM (no stop),57.94190993856065,66.89756628419529,43.32796703581661,2.2160429774217,22.45786394303312,78.735310576385,74.0346950195859,55.706727135298564,-71.48728555802869
tp 1xEM (no stop),83.43119816945459,83.01443772809112,84.11127264519938,3.964452745187186,64.03645673945564,75.3217683268047,67.31952993844432,54.2809642560266,-45.99799732713475
tp 1.5xEM (no stop),90.42756612103078,86.03211042363631,97.60012122075548,4.033085947895006,79.53561459336225,69.50195858981533,52.88192501398993,55.026455026455025,-39.00162937555858
tp 1xEM + confirm15 0.5xEM,63.25812826071249,68.65954940690276,54.444027185633246,3.2573187462925923,30.348592723188485,60.4364857302742,92.61331841074426,44.89425981873112,-66.17106723587685
tp 1xEM + hard 0.5xEM,41.31355811516005,45.42115289146516,34.610737773266,2.408076611654543,10.250207581807963,47.78959149412423,94.85170677112478,47.905604719764014,-88.1156373814293
tp 1.5xEM + confirm15 0.5xEM,68.02215747919374,75.81078215908828,55.31259025485921,2.9009947557778015,32.211264776214136,53.10576385002798,85.61835478455512,42.61437908496732,-61.4070380173956
stop 3% + re-enter at entry (2nd RT charged) [re-entered 39%],90.25501903017248,110.87410201341791,56.60856255677638,1.881418234952057,36.379107475774916,48.237269166200335,61.94739787353106,35.86269196025293,-39.17417646641687
stop 5% + re-enter at entry (2nd RT charged) [re-entered 22%],97.26708837851389,114.15067417730779,69.71625912216098,2.2937187719992362,51.87266560227881,50.69949636261891,45.942921096810295,29.11084043848965,-32.162107118075454
