rule,bp,train,test,t_test,test_stress,win%,early%,wick%,dbp
"vwap stop band 25bp (5m confirm, 30m arm)",18.85468190783416,14.120245922702523,26.59752963168781,1.2119779183356352,2.6932836580421418,38.22222222222222,91.33333333333333,40.75425790754258,-14.961435798491918
"vwap stop band 50bp (5m confirm, 30m arm)",24.686931429019694,13.59965835701315,42.81941169465852,1.8201225504394474,19.332442441364233,38.44444444444444,88.38888888888889,39.47203016970459,-9.12918627730639
trail 3% from MFE,3.7541968075920935,1.3409785470037334,7.7008509760799395,0.5935966769201708,-17.367377428019637,40.22222222222222,97.66666666666667,44.4254835039818,-30.06192089873399
trail 3% armed at +3%,27.18296679379561,5.453489959862213,62.720046769642785,2.887891318947149,42.24186228940854,65.0,63.22222222222222,51.84534270650264,-6.633150912530475
trail 5% from MFE,17.579194962687005,17.14111558385365,18.295643961452544,0.9535099283602247,-5.213287224491809,42.55555555555556,84.11111111111111,39.49801849405548,-16.23692274363908
trail 5% armed at +3%,36.354799383004966,19.43180353367166,64.03120694333484,2.631950035838982,45.222129344506165,54.22222222222223,51.16666666666667,48.42562432138979,2.5386816766788742
trail 8% from MFE,22.792897575610237,5.457389223789989,51.143941249084946,2.015016340389395,31.895624997254806,46.5,55.722222222222214,31.006979062811563,-11.023220130715854
trail 8% armed at +3%,40.90474099352822,17.761761061862956,78.75350905161037,2.860654622962001,62.86536849524143,51.22222222222222,32.77777777777778,38.474576271186436,7.088623287202131
hard stop at 0.25xEM,6.177788542096449,9.552183832244543,0.6591947806097288,0.04168395858349319,-22.54226934823361,26.166666666666664,86.94444444444444,44.60063897763578,-27.63832916422965
confirm15 stop at 0.25xEM,18.590665128347897,18.524487857498347,18.698893549341978,0.798831050615208,-2.0867579879932903,27.611111111111107,71.83333333333334,34.64810518174787,-15.225452577978182
dwell10 stop at 0.25xEM,21.72526370841565,10.635882414985177,39.86119182666137,1.568486954998229,19.888131797378815,31.38888888888889,67.66666666666666,31.03448275862069,-12.090853997910438
hard stop at 0.5xEM,12.429404785958628,13.321124686554969,10.97105759859974,0.5414011836238525,-10.539337716187951,29.27777777777778,76.55555555555556,39.7677793904209,-21.38671292036746
confirm15 stop at 0.5xEM,22.30436006579459,9.176964735926468,43.77332138858037,1.6760525173017347,24.568929002050385,33.83333333333333,62.72222222222222,29.583702391496903,-11.511757640531497
dwell10 stop at 0.5xEM,27.42832297779813,10.439521261981653,55.21235155256679,2.028411717368484,36.71074101083914,37.27777777777778,58.38888888888889,25.59467174119886,-6.387794728527963
tp 5% (no stop),28.006439340382933,-2.712732338146218,78.24555319824101,3.3808556595630144,59.37058980146211,62.94444444444445,52.22222222222223,51.38297872340426,-5.809678365943166
tp 8% (no stop),36.64129544421552,0.5457848643150718,95.67304554340848,3.509566637821223,79.98256238089026,55.888888888888886,31.666666666666664,50.877192982456144,2.825177737889438
tp 10% (no stop),34.75715447863209,-4.441546217019515,98.86396074077385,3.4182857067416137,84.79866059436102,53.833333333333336,22.0,51.76767676767676,0.9410367723059893
tp 0.5xEM (no stop),-7.537466968934186,-25.979488161662296,22.623203122247812,1.3599608430111334,0.5417975585582057,79.5,77.66666666666666,54.57796852646638,-41.35358467526026
tp 0.75xEM (no stop),-1.617166361575172,-20.47119086923144,29.21730710116577,1.4584061292811483,8.519503294430773,73.88888888888889,69.05555555555556,54.30410297666934,-35.43328406790125
tp 1xEM (no stop),12.099640683535595,-12.90251137427867,52.98895817779409,2.4194463720941344,33.235517475012266,70.16666666666667,61.83333333333333,53.81850853548967,-21.716477022790485
tp 1.5xEM (no stop),16.792994079884465,-16.150870405744755,70.67044156223854,2.8484972316601667,52.84965093266316,64.27777777777777,48.55555555555556,52.40274599542334,-17.023123626441624
tp 1xEM + confirm15 0.5xEM,3.559399982801772,-6.994081154760486,20.81889988127475,1.1915985227204806,-3.1951557556213013,53.11111111111111,92.44444444444444,42.00721153846153,-30.256717723524318
tp 1xEM + hard 0.5xEM,3.1347766050456527,-1.4670656773642705,10.660776355341236,0.7421059793966047,-13.616822473355688,41.61111111111111,94.5,44.914756025867135,-30.681341101280434
tp 1.5xEM + confirm15 0.5xEM,5.7258420085684225,-5.279224065985433,23.723878326689437,1.2097702117475746,0.6981096590467021,45.94444444444444,86.66666666666667,38.84615384615385,-28.09027569775767
stop 3% + re-enter at entry (2nd RT charged) [re-entered 41%],12.491408714894181,3.8784722610089784,26.57727989935943,0.8535878527561506,6.099095419125181,43.888888888888886,67.11111111111111,33.609271523178805,-21.324708991431912
stop 5% + re-enter at entry (2nd RT charged) [re-entered 24%],16.616139545673963,2.252454480271132,40.10696856185985,1.2700147268032858,21.890863144583147,46.0,51.72222222222223,27.38990332975295,-17.199978160652133
