rule,sharpe_all,cagr,maxdd,bp,win%,sh_train,sh_test,n,avg_hz
rev T+5 sl=- tp=30.0,1.4991202434719764,30.978285537156403,21.34603410572664,128.84312645963456,46.05484051482932,0.9390363905858189,0.7671467257579793,1787,3.289871292669278
rev T+3 sl=8.0 tp=10.0,1.232046904716668,18.307562186737325,13.53322814560749,78.82132672020707,47.34191382204813,0.7725497730195421,0.7620030038068625,1787,2.144935646334639
rev T+3 sl=10.0 tp=10.0,1.4385071608606843,22.81009992865959,14.940692178145232,93.79457725313418,49.58030218242865,0.8943366145874928,0.7597585093395571,1787,2.144935646334639
rev T+3 sl=15.0 tp=30.0,1.5293418578169924,33.22450797795258,20.974751508799784,122.75514250249768,47.56575265808618,1.0033015875440983,0.7526706567258595,1787,2.144935646334639
rev T+5 sl=8.0 tp=10.0,1.1995919474630488,16.76145319030915,11.864826106907245,73.52337977783468,46.334639059876885,0.6523889297766721,0.7458366223764222,1787,3.289871292669278
rev T+3 sl=15.0 tp=-,1.4952100334073002,34.07654814415666,20.97475150879977,126.99968431868243,47.50979294907666,0.986814460605057,0.74072971515557,1787,2.144935646334639
rev T+5 sl=15.0 tp=20.0,1.2717864556185214,24.060807802554017,23.70613536971814,106.83570428898307,45.60716284275322,0.6463568750957973,0.7402376628806956,1787,3.289871292669278
T+5 sl=- tp=30.0,1.605865084662192,32.72170062629398,16.73935059397437,157.66133903925189,56.071628427532175,0.9029201970370698,0.7342538049720433,1787,5.0
T+1 sl=15.0 tp=20.0,1.567936250623265,29.911510739093906,19.28890165984034,109.69482872198247,55.79182988248461,1.097213785858494,0.724402227362956,1787,1.0
reversal hold T+5 if d1>0,1.4195874638203305,29.84121776701589,21.346034105726698,127.63367502262216,45.99888080581981,0.8899133265582643,0.7234478232347851,1787,3.289871292669278
plain T+5,1.5570232545908385,32.529773216328635,17.433238926463336,158.2548288108667,56.01566871852266,0.867950027106688,0.7215716999080624,1787,5.0
rev T+3 sl=10.0 tp=15.0,1.4628356659396586,26.780463150613045,18.61071457551917,103.36065595749294,46.72635702294348,0.8943596994341665,0.71326605995811,1787,2.144935646334639
T+1 sl=15.0 tp=15.0,1.4941062969398389,27.51847371377596,20.330157469690903,103.51546621077846,55.903749300503634,1.018422174444012,0.7113156959690289,1787,1.0
rev T+3 sl=8.0 tp=15.0,1.260674225960793,21.470897336622418,15.68871057470982,87.70680345875836,44.6558477895915,0.7893265261922535,0.7088493829373069,1787,2.144935646334639
T+1 sl=10.0 tp=10.0,1.5635200039425057,24.826710373982607,14.659364845121093,91.02576585850397,55.79182988248461,1.1551850508456778,0.706639046985589,1787,1.0
gd T+3/T+1 sl=10.0 tp=10.0,1.585468168340087,25.033873442476917,19.73723605798876,100.02961837661314,56.463346390598765,1.103341120909358,0.7015379777062585,1787,2.186345831001679
rev T+5 sl=8.0 tp=15.0,1.1486307172035963,17.95523433864117,14.96733792998446,78.04760660551639,42.52937884722999,0.6561017681328286,0.7009555162016293,1787,3.289871292669278
T+1 sl=8.0 tp=10.0,1.3056693239889507,19.604640259289674,15.962486968157164,72.41406708968832,52.93788472299944,0.9709692962185904,0.6989083762006687,1787,1.0
gd T+3/T+1 sl=8.0 tp=10.0,1.3781771074036084,20.577026018708764,16.77438096656906,81.40397647216965,53.16172355903749,0.9602889062383908,0.6957432430286954,1787,2.186345831001679
rev T+5 sl=10.0 tp=10.0,1.3074300560892445,19.50121343900617,15.272757063369447,87.76548243749042,48.405148293228876,0.6944990377686364,0.6950763318161975,1787,3.289871292669278
rev T+3 sl=8.0 tp=20.0,1.2763154081301544,23.02689671740645,17.62537481142633,95.92047804974955,44.2641298265249,0.8295179408667799,0.6863379324892974,1787,2.144935646334639
rev T+3 sl=10.0 tp=20.0,1.459761499457027,28.384717099581746,20.59413222988946,111.88553370107289,46.390598768886406,0.9104913134456092,0.6831498707271384,1787,2.144935646334639
T+3 sl=15.0 tp=15.0,1.4970928147024563,28.242870895210736,25.59664791897068,128.47712663329264,56.63122551762731,0.9293520054164528,0.6656528482950678,1787,3.0
conf T+5 if high/med,1.7505718110389348,36.36829771942689,16.046193906547845,157.55364316776578,56.57526580861779,1.14464611260502,0.6633685061994559,1787,4.071068830442082
T+3 sl=15.0 tp=20.0,1.5430217688790544,31.063602641892363,23.8551752317974,134.71744624151012,56.23950755456072,0.9969099532622852,0.6610871931695458,1787,3.0
T+3 sl=15.0 tp=10.0,1.463422826001476,25.12273338011091,21.08606488767225,117.91778840316324,59.1494124230554,0.9335158792861737,0.6556188818494582,1787,3.0
rev T+5 sl=10.0 tp=15.0,1.2812017526830752,21.555312331256605,18.52921794916823,93.62985793578082,44.6558477895915,0.7260217296780762,0.6525133928686172,1787,3.289871292669278
rev T+5 sl=8.0 tp=20.0,1.135930545963083,18.799507958994987,16.443238965788808,85.17530578939216,41.91382204812535,0.6780133674301829,0.6433718450077136,1787,3.289871292669278
gd T+3/T+1 sl=5.0 tp=10.0,1.1976559977413406,15.071561195069737,17.08799732545172,61.74216193697013,44.879686625629546,0.7432650234685623,0.6313453708210839,1787,2.186345831001679
rev T+5 sl=10.0 tp=20.0,1.2761145588850267,22.799860022491924,19.727601537799757,101.10282634908855,44.096250699496366,0.7220979650408721,0.6196983098533335,1787,3.289871292669278
T+5 sl=15.0 tp=10.0,1.3325033473064873,21.321280517324226,21.818865949746645,117.30004239069233,59.1494124230554,0.5361574495197228,0.6133388164836218,1787,5.0
reversal T+5 if d1>-2%,1.3387557431752883,27.796086479725403,18.013428520079177,132.06617134529972,50.531617235590375,0.8665665178885721,0.6069784176447632,1787,3.7330721880246225
gd T+3/T+1 sl=15.0 tp=30.0,1.6732281172814374,33.049280030617155,24.522295691478067,131.24279400677517,56.63122551762731,1.2103424936621408,0.5981747175016346,1787,2.186345831001679
gd T+3/T+1 sl=5.0 tp=15.0,1.1948289609648588,16.72108944843287,18.476947328120087,64.45182454667513,42.697257974258534,0.7387662874361635,0.5948407730582626,1787,2.186345831001679
gd T+3/T+1 sl=15.0 tp=-,1.6392548392586415,34.806089951771455,24.522295691478035,137.56260155026686,56.63122551762731,1.1610189202789223,0.594236200600348,1787,2.186345831001679
rev T+3 sl=8.0 tp=30.0,1.264338300602315,24.05899892190664,17.695043031964364,96.81688391229845,43.928371572467825,0.9171318168714764,0.5864787906998123,1787,2.144935646334639
rev T+3 sl=8.0 tp=-,1.2611601186668016,25.95124991203077,17.695043031964385,104.38531567759318,43.928371572467825,0.9290501354112314,0.5776495286563338,1787,2.144935646334639
T+3 sl=8.0 tp=10.0,1.1965482750180028,17.400127402392563,15.617689176344928,81.73794678572538,52.88192501398993,0.7875114563350917,0.5763379465148982,1787,3.0
rev T+3 sl=10.0 tp=30.0,1.4417257177413487,29.8371643915726,20.661724087562504,113.76966996106906,46.05484051482932,0.9922011042295943,0.5729918042282331,1787,2.144935646334639
T+1 sl=10.0 tp=20.0,1.5125689891930303,27.200508836206836,19.780888719379774,97.64068296672488,53.83324006715166,1.1465385774988999,0.5712902949986968,1787,1.0
rev T+3 sl=5.0 tp=15.0,1.0617175562927326,15.545159040032308,17.061830395703915,68.86015677319314,38.556239507554565,0.5911135799975314,0.5698582782950787,1787,2.144935646334639
rev T+3 sl=10.0 tp=-,1.4151984451771673,30.82057540726739,20.661724087562494,118.42030836303991,45.99888080581981,0.9816129978226072,0.5640788139563733,1787,2.144935646334639
