hz,stop,tgt,bp,bp_train,bp_test,t_test,win%,stop%,tp%,wick%,dbp,sh_train,sh_test,arm
T+3,0.75xEM,20%,24.43986313021208,15.128897301375646,39.667313834180284,1.5500806371416296,24.944444444444443,72.33333333333334,4.444444444444445,37.48079877112136,-16.478569409233994,0.16881353164169827,0.5567732941661285,tape
T+3,0.75xEM,0.5xEM,-19.48659371814665,-25.761820382178293,-9.223887739049493,-0.7369539995161015,55.111111111111114,44.0,54.50000000000001,37.121212121212125,-60.40502625759269,-0.8288023804350924,0.4119605780543039,tape
T+3,0.75xEM,1xEM,-3.5255709257492476,-14.646807451914352,14.662454256866305,0.8820466127131347,43.44444444444445,54.77777777777778,40.44444444444444,36.206896551724135,-44.444003465195294,-0.428978487574732,0.5428270631623572,tape
T+3,0.75xEM,1.5xEM,-1.3318424373271847,-12.021275308791292,16.149997266077502,0.840343443983493,36.333333333333336,61.33333333333333,30.833333333333336,36.41304347826087,-42.25027497677325,-0.27773145093166646,0.5339584253284125,tape
T+1,-,-,129.4291894018102,137.8391415151911,115.70573293402511,3.563593848391651,56.51930609960828,0.0,0.0,0.0,0.0,1.6921589727843969,0.8138867858873576,full
T+1,-,5%,104.26371836788317,109.17327707237484,96.25224407542838,4.1833765697108225,68.21488528259653,0.0,58.198097369893674,0.0,-25.16547103392704,1.8327181832498796,1.1520603917069647,full
T+1,-,8%,119.66993572732511,117.31603131654059,123.51106398527693,4.609043264949494,60.49244543928371,0.0,35.25461667599328,0.0,-9.759253674485045,1.671025118313074,1.2046854150994395,full
T+1,-,10%,123.97594915749026,118.87102838521358,132.30621751637474,4.519232248315075,58.53385562395076,0.0,25.62954672635702,0.0,-5.453240244319934,1.6599953032913233,1.1045178530322428,full
T+1,-,15%,128.53120043223194,124.46752723516308,135.16234903657988,4.243027433876676,56.85506435366536,0.0,10.016787912702855,0.0,-0.8979889695782618,1.637049587345578,1.002984521412645,full
T+1,-,20%,135.52997296821812,136.74046458115734,133.55467884872377,4.095280410715161,56.74314493564634,0.0,4.252937884722999,0.0,6.100783566407928,1.7072252660657286,1.022295421689422,full
T+1,-,0.5xEM,32.652630808804666,32.03601288795457,33.6588350154349,2.118421002291327,83.15612758813654,0.0,81.30945719082261,0.0,-96.77655859300552,0.7908320572307295,0.6650740949958746,full
T+1,-,1xEM,83.39608188023725,82.95780186345235,84.11127224636049,3.9644527053026546,75.3217683268047,0.0,67.54336877448237,0.0,-46.03310752157292,1.5202606849104958,1.0637782068908195,full
T+1,-,1.5xEM,90.81316201249699,86.40739172496572,98.00254857889557,4.036717341530938,69.50195858981533,0.0,53.16172355903749,0.0,-38.61602738931319,1.4720405962281535,1.046732388071883,full
